Start Date Time,End Date Time,Usage,Usage Unit,Avg. Temperature,Temperature Unit,Peak Demand,Demand Unit
05-02-2025 00:00,05-02-2025 00:15,40.48,KWH,49.0,FAHRENHEIT,161.92,KW
05-02-2025 00:15,05-02-2025 00:30,44.32,KWH,49.0,FAHRENHEIT,177.28,KW
05-02-2025 00:30,05-02-2025 00:45,48.32,KWH,49.0,FAHRENHEIT,193.28,KW
05-02-2025 00:45,05-02-2025 01:00,55.2,KWH,49.0,FAHRENHEIT,220.8,KW
05-02-2025 01:00,05-02-2025 01:15,51.68,KWH,48.0,FAHRENHEIT,206.72,KW
05-02-2025 01:15,05-02-2025 01:30,48.96,KWH,48.0,FAHRENHEIT,195.84,KW
05-02-2025 01:30,05-02-2025 01:45,59.52,KWH,48.0,FAHRENHEIT,238.08,KW
05-02-2025 01:45,05-02-2025 02:00,54.24,KWH,48.0,FAHRENHEIT,216.96,KW
05-02-2025 02:00,05-02-2025 02:15,64.64,KWH,48.0,FAHRENHEIT,258.56,KW
05-02-2025 02:15,05-02-2025 02:30,72.64,KWH,48.0,FAHRENHEIT,290.56,KW
05-02-2025 02:30,05-02-2025 02:45,64.48,KWH,48.0,FAHRENHEIT,257.92,KW
05-02-2025 02:45,05-02-2025 03:00,54.72,KWH,48.0,FAHRENHEIT,218.88,KW
05-02-2025 03:00,05-02-2025 03:15,55.2,KWH,48.0,FAHRENHEIT,220.8,KW
05-02-2025 03:15,05-02-2025 03:30,52.32,KWH,48.0,FAHRENHEIT,209.28,KW
05-02-2025 03:30,05-02-2025 03:45,68.48,KWH,48.0,FAHRENHEIT,273.92,KW
05-02-2025 03:45,05-02-2025 04:00,68.0,KWH,48.0,FAHRENHEIT,272.0,KW
05-02-2025 04:00,05-02-2025 04:15,59.52,KWH,48.0,FAHRENHEIT,238.08,KW
05-02-2025 04:15,05-02-2025 04:30,54.72,KWH,48.0,FAHRENHEIT,218.88,KW
05-02-2025 04:30,05-02-2025 04:45,52.0,KWH,48.0,FAHRENHEIT,208.0,KW
05-02-2025 04:45,05-02-2025 05:00,51.2,KWH,48.0,FAHRENHEIT,204.8,KW
05-02-2025 05:00,05-02-2025 05:15,52.32,KWH,48.0,FAHRENHEIT,209.28,KW
05-02-2025 05:15,05-02-2025 05:30,52.64,KWH,48.0,FAHRENHEIT,210.56,KW
05-02-2025 05:30,05-02-2025 05:45,51.52,KWH,48.0,FAHRENHEIT,206.08,KW
05-02-2025 05:45,05-02-2025 06:00,50.4,KWH,48.0,FAHRENHEIT,201.6,KW
05-02-2025 06:00,05-02-2025 06:15,51.68,KWH,46.0,FAHRENHEIT,206.72,KW
05-02-2025 06:15,05-02-2025 06:30,51.52,KWH,46.0,FAHRENHEIT,206.08,KW
05-02-2025 06:30,05-02-2025 06:45,51.52,KWH,46.0,FAHRENHEIT,206.08,KW
05-02-2025 06:45,05-02-2025 07:00,56.48,KWH,46.0,FAHRENHEIT,225.92,KW
05-02-2025 07:00,05-02-2025 07:15,67.52,KWH,48.0,FAHRENHEIT,270.08,KW
05-02-2025 07:15,05-02-2025 07:30,64.48,KWH,48.0,FAHRENHEIT,257.92,KW
05-02-2025 07:30,05-02-2025 07:45,52.96,KWH,48.0,FAHRENHEIT,211.84,KW
05-02-2025 07:45,05-02-2025 08:00,52.32,KWH,48.0,FAHRENHEIT,209.28,KW
