Start Date Time,End Date Time,Usage,Usage Unit,Avg. Temperature,Temperature Unit,Peak Demand,Demand Unit
10-22-2022 00:00,10-22-2022 00:15,66.56,KWH,57.0,FAHRENHEIT,266.24,KW
10-22-2022 00:15,10-22-2022 00:30,67.68,KWH,57.0,FAHRENHEIT,270.72,KW
10-22-2022 00:30,10-22-2022 00:45,65.12,KWH,57.0,FAHRENHEIT,260.48,KW
10-22-2022 00:45,10-22-2022 01:00,65.28,KWH,57.0,FAHRENHEIT,261.12,KW
10-22-2022 01:00,10-22-2022 01:15,65.44,KWH,57.0,FAHRENHEIT,261.76,KW
10-22-2022 01:15,10-22-2022 01:30,65.76,KWH,57.0,FAHRENHEIT,263.04,KW
10-22-2022 01:30,10-22-2022 01:45,66.24,KWH,57.0,FAHRENHEIT,264.96,KW
10-22-2022 01:45,10-22-2022 02:00,65.6,KWH,57.0,FAHRENHEIT,262.4,KW
10-22-2022 02:00,10-22-2022 02:15,65.6,KWH,58.0,FAHRENHEIT,262.4,KW
10-22-2022 02:15,10-22-2022 02:30,65.92,KWH,58.0,FAHRENHEIT,263.68,KW
10-22-2022 02:30,10-22-2022 02:45,66.24,KWH,58.0,FAHRENHEIT,264.96,KW
10-22-2022 02:45,10-22-2022 03:00,65.6,KWH,58.0,FAHRENHEIT,262.4,KW
10-22-2022 03:00,10-22-2022 03:15,64.96,KWH,58.0,FAHRENHEIT,259.84,KW
10-22-2022 03:15,10-22-2022 03:30,65.12,KWH,58.0,FAHRENHEIT,260.48,KW
10-22-2022 03:30,10-22-2022 03:45,64.8,KWH,58.0,FAHRENHEIT,259.2,KW
10-22-2022 03:45,10-22-2022 04:00,65.28,KWH,58.0,FAHRENHEIT,261.12,KW
10-22-2022 04:00,10-22-2022 04:15,65.28,KWH,59.0,FAHRENHEIT,261.12,KW
10-22-2022 04:15,10-22-2022 04:30,64.8,KWH,59.0,FAHRENHEIT,259.2,KW
10-22-2022 04:30,10-22-2022 04:45,64.16,KWH,59.0,FAHRENHEIT,256.64,KW
10-22-2022 04:45,10-22-2022 05:00,64.8,KWH,59.0,FAHRENHEIT,259.2,KW
10-22-2022 05:00,10-22-2022 05:15,72.16,KWH,59.0,FAHRENHEIT,288.64,KW
10-22-2022 05:15,10-22-2022 05:30,77.6,KWH,59.0,FAHRENHEIT,310.4,KW
10-22-2022 05:30,10-22-2022 05:45,77.6,KWH,59.0,FAHRENHEIT,310.4,KW
10-22-2022 05:45,10-22-2022 06:00,77.12,KWH,59.0,FAHRENHEIT,308.48,KW
10-22-2022 06:00,10-22-2022 06:15,68.64,KWH,59.0,FAHRENHEIT,274.56,KW
10-22-2022 06:15,10-22-2022 06:30,64.8,KWH,59.0,FAHRENHEIT,259.2,KW
10-22-2022 06:30,10-22-2022 06:45,64.32,KWH,59.0,FAHRENHEIT,257.28,KW
10-22-2022 06:45,10-22-2022 07:00,64.0,KWH,59.0,FAHRENHEIT,256.0,KW
10-22-2022 07:00,10-22-2022 07:15,49.92,KWH,59.0,FAHRENHEIT,199.68,KW
10-22-2022 07:15,10-22-2022 07:30,48.0,KWH,59.0,FAHRENHEIT,192.0,KW
10-22-2022 07:30,10-22-2022 07:45,46.72,KWH,59.0,FAHRENHEIT,186.88,KW
10-22-2022 07:45,10-22-2022 08:00,46.56,KWH,59.0,FAHRENHEIT,186.24,KW
10-22-2022 08:00,10-22-2022 08:15,45.6,KWH,59.0,FAHRENHEIT,182.4,KW
10-22-2022 08:15,10-22-2022 08:30,45.44,KWH,59.0,FAHRENHEIT,181.76,KW
10-22-2022 08:30,10-22-2022 08:45,45.28,KWH,59.0,FAHRENHEIT,181.12,KW
10-22-2022 08:45,10-22-2022 09:00,45.12,KWH,59.0,FAHRENHEIT,180.48,KW
10-22-2022 09:00,10-22-2022 09:15,45.44,KWH,60.0,FAHRENHEIT,181.76,KW
10-22-2022 09:15,10-22-2022 09:30,45.6,KWH,60.0,FAHRENHEIT,182.4,KW
10-22-2022 09:30,10-22-2022 09:45,45.92,KWH,60.0,FAHRENHEIT,183.68,KW
10-22-2022 09:45,10-22-2022 10:00,46.24,KWH,60.0,FAHRENHEIT,184.96,KW
10-22-2022 10:00,10-22-2022 10:15,46.56,KWH,62.0,FAHRENHEIT,186.24,KW
10-22-2022 10:15,10-22-2022 10:30,46.72,KWH,62.0,FAHRENHEIT,186.88,KW
10-22-2022 10:30,10-22-2022 10:45,46.88,KWH,62.0,FAHRENHEIT,187.52,KW
10-22-2022 10:45,10-22-2022 11:00,46.72,KWH,62.0,FAHRENHEIT,186.88,KW
10-22-2022 11:00,10-22-2022 11:15,46.4,KWH,64.0,FAHRENHEIT,185.6,KW
10-22-2022 11:15,10-22-2022 11:30,46.56,KWH,64.0,FAHRENHEIT,186.24,KW
10-22-2022 11:30,10-22-2022 11:45,46.56,KWH,64.0,FAHRENHEIT,186.24,KW
10-22-2022 11:45,10-22-2022 12:00,46.56,KWH,64.0,FAHRENHEIT,186.24,KW
10-22-2022 12:00,10-22-2022 12:15,46.72,KWH,65.0,FAHRENHEIT,186.88,KW
10-22-2022 12:15,10-22-2022 12:30,47.36,KWH,65.0,FAHRENHEIT,189.44,KW
10-22-2022 12:30,10-22-2022 12:45,44.64,KWH,65.0,FAHRENHEIT,178.56,KW
10-22-2022 12:45,10-22-2022 13:00,53.76,KWH,65.0,FAHRENHEIT,215.04,KW
10-22-2022 13:00,10-22-2022 13:15,77.76,KWH,67.0,FAHRENHEIT,311.04,KW
10-22-2022 13:15,10-22-2022 13:30,66.24,KWH,67.0,FAHRENHEIT,264.96,KW
10-22-2022 13:30,10-22-2022 13:45,59.52,KWH,67.0,FAHRENHEIT,238.08,KW
10-22-2022 13:45,10-22-2022 14:00,57.12,KWH,67.0,FAHRENHEIT,228.48,KW
10-22-2022 14:00,10-22-2022 14:15,54.72,KWH,67.0,FAHRENHEIT,218.88,KW
10-22-2022 14:15,10-22-2022 14:30,51.68,KWH,67.0,FAHRENHEIT,206.72,KW
10-22-2022 14:30,10-22-2022 14:45,52.64,KWH,67.0,FAHRENHEIT,210.56,KW
10-22-2022 14:45,10-22-2022 15:00,52.0,KWH,67.0,FAHRENHEIT,208.0,KW
10-22-2022 15:00,10-22-2022 15:15,49.12,KWH,66.0,FAHRENHEIT,196.48,KW
10-22-2022 15:15,10-22-2022 15:30,49.44,KWH,66.0,FAHRENHEIT,197.76,KW
10-22-2022 15:30,10-22-2022 15:45,50.56,KWH,66.0,FAHRENHEIT,202.24,KW
10-22-2022 15:45,10-22-2022 16:00,49.28,KWH,66.0,FAHRENHEIT,197.12,KW
10-22-2022 16:00,10-22-2022 16:15,49.28,KWH,64.0,FAHRENHEIT,197.12,KW
10-22-2022 16:15,10-22-2022 16:30,49.44,KWH,64.0,FAHRENHEIT,197.76,KW
10-22-2022 16:30,10-22-2022 16:45,49.44,KWH,64.0,FAHRENHEIT,197.76,KW
10-22-2022 16:45,10-22-2022 17:00,50.4,KWH,64.0,FAHRENHEIT,201.6,KW
10-22-2022 17:00,10-22-2022 17:15,51.2,KWH,63.0,FAHRENHEIT,204.8,KW
10-22-2022 17:15,10-22-2022 17:30,50.88,KWH,63.0,FAHRENHEIT,203.52,KW
10-22-2022 17:30,10-22-2022 17:45,50.56,KWH,63.0,FAHRENHEIT,202.24,KW
10-22-2022 17:45,10-22-2022 18:00,50.24,KWH,63.0,FAHRENHEIT,200.96,KW
10-22-2022 18:00,10-22-2022 18:15,49.92,KWH,60.0,FAHRENHEIT,199.68,KW
10-22-2022 18:15,10-22-2022 18:30,60.48,KWH,60.0,FAHRENHEIT,241.92,KW
10-22-2022 18:30,10-22-2022 18:45,69.12,KWH,60.0,FAHRENHEIT,276.48,KW
10-22-2022 18:45,10-22-2022 19:00,68.32,KWH,60.0,FAHRENHEIT,273.28,KW
10-22-2022 19:00,10-22-2022 19:15,67.68,KWH,56.0,FAHRENHEIT,270.72,KW
10-22-2022 19:15,10-22-2022 19:30,69.76,KWH,56.0,FAHRENHEIT,279.04,KW
10-22-2022 19:30,10-22-2022 19:45,48.32,KWH,56.0,FAHRENHEIT,193.28,KW
10-22-2022 19:45,10-22-2022 20:00,46.24,KWH,56.0,FAHRENHEIT,184.96,KW
10-22-2022 20:00,10-22-2022 20:15,46.4,KWH,55.0,FAHRENHEIT,185.6,KW
10-22-2022 20:15,10-22-2022 20:30,46.88,KWH,55.0,FAHRENHEIT,187.52,KW
10-22-2022 20:30,10-22-2022 20:45,48.0,KWH,55.0,FAHRENHEIT,192.0,KW
10-22-2022 20:45,10-22-2022 21:00,47.52,KWH,55.0,FAHRENHEIT,190.08,KW
10-22-2022 21:00,10-22-2022 21:15,47.2,KWH,54.0,FAHRENHEIT,188.8,KW
10-22-2022 21:15,10-22-2022 21:30,46.88,KWH,54.0,FAHRENHEIT,187.52,KW
10-22-2022 21:30,10-22-2022 21:45,46.88,KWH,54.0,FAHRENHEIT,187.52,KW
10-22-2022 21:45,10-22-2022 22:00,47.36,KWH,54.0,FAHRENHEIT,189.44,KW
