Start Date Time,End Date Time,Usage,Usage Unit,Avg. Temperature,Temperature Unit,Peak Demand,Demand Unit
09-12-2024 00:00,09-12-2024 00:15,49.6,KWH,60.0,FAHRENHEIT,198.4,KW
09-12-2024 00:15,09-12-2024 00:30,46.24,KWH,60.0,FAHRENHEIT,184.96,KW
09-12-2024 00:30,09-12-2024 00:45,57.92,KWH,60.0,FAHRENHEIT,231.68,KW
09-12-2024 00:45,09-12-2024 01:00,66.88,KWH,60.0,FAHRENHEIT,267.52,KW
09-12-2024 01:00,09-12-2024 01:15,78.56,KWH,60.0,FAHRENHEIT,314.24,KW
09-12-2024 01:15,09-12-2024 01:30,68.8,KWH,60.0,FAHRENHEIT,275.2,KW
09-12-2024 01:30,09-12-2024 01:45,60.16,KWH,60.0,FAHRENHEIT,240.64,KW
09-12-2024 01:45,09-12-2024 02:00,56.0,KWH,60.0,FAHRENHEIT,224.0,KW
09-12-2024 02:00,09-12-2024 02:15,54.72,KWH,60.0,FAHRENHEIT,218.88,KW
09-12-2024 02:15,09-12-2024 02:30,56.16,KWH,60.0,FAHRENHEIT,224.64,KW
09-12-2024 02:30,09-12-2024 02:45,54.88,KWH,60.0,FAHRENHEIT,219.52,KW
09-12-2024 02:45,09-12-2024 03:00,67.68,KWH,60.0,FAHRENHEIT,270.72,KW
09-12-2024 03:00,09-12-2024 03:15,68.16,KWH,59.0,FAHRENHEIT,272.64,KW
09-12-2024 03:15,09-12-2024 03:30,63.2,KWH,59.0,FAHRENHEIT,252.8,KW
09-12-2024 03:30,09-12-2024 03:45,59.84,KWH,59.0,FAHRENHEIT,239.36,KW
09-12-2024 03:45,09-12-2024 04:00,48.16,KWH,59.0,FAHRENHEIT,192.64,KW
09-12-2024 04:00,09-12-2024 04:15,45.44,KWH,59.0,FAHRENHEIT,181.76,KW
09-12-2024 04:15,09-12-2024 04:30,44.0,KWH,59.0,FAHRENHEIT,176.0,KW
09-12-2024 04:30,09-12-2024 04:45,44.8,KWH,59.0,FAHRENHEIT,179.2,KW
09-12-2024 04:45,09-12-2024 05:00,44.16,KWH,59.0,FAHRENHEIT,176.64,KW
09-12-2024 05:00,09-12-2024 05:15,43.84,KWH,58.0,FAHRENHEIT,175.36,KW
09-12-2024 05:15,09-12-2024 05:30,35.68,KWH,58.0,FAHRENHEIT,142.72,KW
09-12-2024 05:30,09-12-2024 05:45,30.56,KWH,58.0,FAHRENHEIT,122.24,KW
09-12-2024 05:45,09-12-2024 06:00,29.76,KWH,58.0,FAHRENHEIT,119.04,KW
09-12-2024 06:00,09-12-2024 06:15,30.88,KWH,56.0,FAHRENHEIT,123.52,KW
09-12-2024 06:15,09-12-2024 06:30,31.36,KWH,56.0,FAHRENHEIT,125.44,KW
09-12-2024 06:30,09-12-2024 06:45,32.32,KWH,56.0,FAHRENHEIT,129.28,KW
09-12-2024 06:45,09-12-2024 07:00,32.96,KWH,56.0,FAHRENHEIT,131.84,KW
09-12-2024 07:00,09-12-2024 07:15,33.12,KWH,56.0,FAHRENHEIT,132.48,KW
09-12-2024 07:15,09-12-2024 07:30,34.24,KWH,56.0,FAHRENHEIT,136.96,KW
