Start Date Time,End Date Time,Usage,Usage Unit,Avg. Temperature,Temperature Unit,Peak Demand,Demand Unit
03-05-2024 00:00,03-05-2024 00:15,73.28,KWH,51.0,FAHRENHEIT,293.12,KW
03-05-2024 00:15,03-05-2024 00:30,61.12,KWH,51.0,FAHRENHEIT,244.48,KW
03-05-2024 00:30,03-05-2024 00:45,55.84,KWH,51.0,FAHRENHEIT,223.36,KW
03-05-2024 00:45,03-05-2024 01:00,59.2,KWH,51.0,FAHRENHEIT,236.8,KW
03-05-2024 01:00,03-05-2024 01:15,78.08,KWH,51.0,FAHRENHEIT,312.32,KW
03-05-2024 01:15,03-05-2024 01:30,63.68,KWH,51.0,FAHRENHEIT,254.72,KW
03-05-2024 01:30,03-05-2024 01:45,60.8,KWH,51.0,FAHRENHEIT,243.2,KW
03-05-2024 01:45,03-05-2024 02:00,58.4,KWH,51.0,FAHRENHEIT,233.6,KW
03-05-2024 02:00,03-05-2024 02:15,58.08,KWH,51.0,FAHRENHEIT,232.32,KW
03-05-2024 02:15,03-05-2024 02:30,57.12,KWH,51.0,FAHRENHEIT,228.48,KW
03-05-2024 02:30,03-05-2024 02:45,56.48,KWH,51.0,FAHRENHEIT,225.92,KW
03-05-2024 02:45,03-05-2024 03:00,69.12,KWH,51.0,FAHRENHEIT,276.48,KW
03-05-2024 03:00,03-05-2024 03:15,59.68,KWH,51.0,FAHRENHEIT,238.72,KW
03-05-2024 03:15,03-05-2024 03:30,55.36,KWH,51.0,FAHRENHEIT,221.44,KW
03-05-2024 03:30,03-05-2024 03:45,52.48,KWH,51.0,FAHRENHEIT,209.92,KW
03-05-2024 03:45,03-05-2024 04:00,42.56,KWH,51.0,FAHRENHEIT,170.24,KW
03-05-2024 04:00,03-05-2024 04:15,44.0,KWH,50.0,FAHRENHEIT,176.0,KW
03-05-2024 04:15,03-05-2024 04:30,43.52,KWH,50.0,FAHRENHEIT,174.08,KW
03-05-2024 04:30,03-05-2024 04:45,41.12,KWH,50.0,FAHRENHEIT,164.48,KW
03-05-2024 04:45,03-05-2024 05:00,41.6,KWH,50.0,FAHRENHEIT,166.4,KW
03-05-2024 05:00,03-05-2024 05:15,34.08,KWH,50.0,FAHRENHEIT,136.32,KW
03-05-2024 05:15,03-05-2024 05:30,31.84,KWH,50.0,FAHRENHEIT,127.36,KW
03-05-2024 05:30,03-05-2024 05:45,30.24,KWH,50.0,FAHRENHEIT,120.96,KW
03-05-2024 05:45,03-05-2024 06:00,30.08,KWH,50.0,FAHRENHEIT,120.32,KW
03-05-2024 06:00,03-05-2024 06:15,30.88,KWH,49.0,FAHRENHEIT,123.52,KW
03-05-2024 06:15,03-05-2024 06:30,31.52,KWH,49.0,FAHRENHEIT,126.08,KW
03-05-2024 06:30,03-05-2024 06:45,31.68,KWH,49.0,FAHRENHEIT,126.72,KW
03-05-2024 06:45,03-05-2024 07:00,31.2,KWH,49.0,FAHRENHEIT,124.8,KW
03-05-2024 07:00,03-05-2024 07:15,29.12,KWH,49.0,FAHRENHEIT,116.48,KW
03-05-2024 07:15,03-05-2024 07:30,28.8,KWH,49.0,FAHRENHEIT,115.2,KW
03-05-2024 07:30,03-05-2024 07:45,28.8,KWH,49.0,FAHRENHEIT,115.2,KW
03-05-2024 07:45,03-05-2024 08:00,28.64,KWH,49.0,FAHRENHEIT,114.56,KW
03-05-2024 08:00,03-05-2024 08:15,29.12,KWH,51.0,FAHRENHEIT,116.48,KW
03-05-2024 08:15,03-05-2024 08:30,29.28,KWH,51.0,FAHRENHEIT,117.12,KW
03-05-2024 08:30,03-05-2024 08:45,30.72,KWH,51.0,FAHRENHEIT,122.88,KW
03-05-2024 08:45,03-05-2024 09:00,28.96,KWH,51.0,FAHRENHEIT,115.84,KW
03-05-2024 09:00,03-05-2024 09:15,28.96,KWH,53.0,FAHRENHEIT,115.84,KW
03-05-2024 09:15,03-05-2024 09:30,30.4,KWH,53.0,FAHRENHEIT,121.6,KW
03-05-2024 09:30,03-05-2024 09:45,30.08,KWH,53.0,FAHRENHEIT,120.32,KW
03-05-2024 09:45,03-05-2024 10:00,31.52,KWH,53.0,FAHRENHEIT,126.08,KW
03-05-2024 10:00,03-05-2024 10:15,31.2,KWH,54.0,FAHRENHEIT,124.8,KW
